"Feature_ID","GeneID","Symbol","Ensembl","Entrez","Biotype","Length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000137440","ENSG00000137440","FGFBP1","ENSG00000137440","9982","protein_coding",4665,-0.729382561734184,5.9210978631537,-9.90869498319374,1.31066295226287e-06,0.0108985594644346,5.90055358640995
"ENSG00000182578","ENSG00000182578","CSF1R","ENSG00000182578","1436","protein_coding",60082,2.57498680890415,-0.47368902605195,9.66893384328526,1.65117179977799e-06,0.0108985594644346,2.41664373912222
"ENSG00000134321","ENSG00000134321","RSAD2","ENSG00000134321","91543","protein_coding",32683,1.95775079674493,1.58781823197426,8.51964220631571,5.35117472467346e-06,0.0230353946901153,3.36433420039665
"ENSG00000137501","ENSG00000137501","SYTL2","ENSG00000137501","54843","protein_coding",116959,-0.814445037938041,6.51953066705869,-7.94692327543605,1.00751635017657e-05,0.0230353946901153,3.93233369550282
"ENSG00000124107","ENSG00000124107","SLPI","ENSG00000124107","6590","protein_coding",2326,1.80181890412888,3.36532875338617,7.91840728066626,1.04068541066609e-05,0.0230353946901153,3.7050457244412
"ENSG00000213246","ENSG00000213246","SUPT4H1","ENSG00000213246","6827","protein_coding",7919,-0.72748441049869,9.19844120607297,-7.76390929412066,1.24220659695992e-05,0.0230353946901153,3.7328394960341
"ENSG00000083799","ENSG00000083799","CYLD","ENSG00000083799","1540","protein_coding",59904,0.62405320302401,5.31261813932099,7.59867024199813,1.50543980077551e-05,0.0230353946901153,3.54795814470888
"ENSG00000110721","ENSG00000110721","CHKA","ENSG00000110721","1119","protein_coding",68586,0.585897648270165,5.29690059539288,7.58323859028009,1.53294181369006e-05,0.0230353946901153,3.53039225806102
"ENSG00000013588","ENSG00000013588","GPRC5A","ENSG00000013588","9052","protein_coding",27156,0.869349357156766,7.91978976344755,7.56265397695755,1.57047611704445e-05,0.0230353946901153,3.49433144212656
"ENSG00000104325","ENSG00000104325","DECR1","ENSG00000104325","1666","protein_coding",52304,-0.603422809894652,5.56725201794052,-7.24320756789884,2.30010768313224e-05,0.0257378548912952,3.12871965813409
"ENSG00000225553","ENSG00000225553","PHF1","ENSG00000225553","5252","protein_coding",6082,0.634524255491741,5.92827944678821,7.23063874475396,2.33546395798327e-05,0.0257378548912952,3.10645902594441
"ENSG00000127863","ENSG00000127863","TNFRSF19","ENSG00000127863","55504","protein_coding",105735,-0.683114132030092,5.64551505155675,-7.20993430782328,2.39499170362716e-05,0.0257378548912952,3.08739307565794
"ENSG00000132823","ENSG00000132823","OSER1","ENSG00000132823","51526","protein_coding",14934,0.641543665971061,5.82938896584078,7.1634808426753,2.53459672439086e-05,0.0257378548912952,3.02742050925747
"ENSG00000116132","ENSG00000116132","PRRX1","ENSG00000116132","5396","protein_coding",76694,-1.06585585041068,2.33067317208611,-6.96899869975854,3.22206156717145e-05,0.0303817391058788,2.52429676550831
"ENSG00000196611","ENSG00000196611","MMP1","ENSG00000196611","4312","protein_coding",8760,3.03434016564328,-1.16319021218707,6.8621964474204,3.68313043263673e-05,0.0324140032274917,0.942782730330908
"ENSG00000165272","ENSG00000165272","AQP3","ENSG00000165272","360","protein_coding",6441,0.819381254500359,5.39716792732305,6.80654476997781,3.95115749489799e-05,0.0325995188063428,2.59993764028578
"ENSG00000107738","ENSG00000107738","VSIR","ENSG00000107738","64115","protein_coding",26053,1.13802569042159,2.3662688518295,6.74296375525147,4.28334367584577e-05,0.0332614234499059,2.2961955914556
"ENSG00000169155","ENSG00000169155","ZBTB43","ENSG00000169155","23099","protein_coding",33223,0.781234392792199,4.84337592707157,6.59019427357573,5.21101591929577e-05,0.0347154177656026,2.34344513627565
"ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","protein_coding",55444,1.24338585742293,4.2450824266744,6.51804111509626,5.72245266635181e-05,0.0347154177656026,2.26133374160009
"ENSG00000078081","ENSG00000078081","LAMP3","ENSG00000078081","27074","protein_coding",41640,1.13324013832028,3.73184673913899,6.4662389510687,6.12284391223567e-05,0.0347154177656026,2.18594254887515
"ENSG00000105974","ENSG00000105974","CAV1","ENSG00000105974","857","protein_coding",36186,0.510388753207357,4.86838080860424,6.38421583466312,6.81974405696628e-05,0.0347154177656026,2.07811026298555
"ENSG00000010818","ENSG00000010818","HIVEP2","ENSG00000010818","3097","protein_coding",205232,0.560916515203613,5.93643695408838,6.34943231971348,7.14062144364981e-05,0.0347154177656026,1.99018537339583
"ENSG00000105499","ENSG00000105499","PLA2G4C","ENSG00000105499","8605","protein_coding",63008,1.60599002451836,0.548645102009286,6.34691032939641,7.16450962099292e-05,0.0347154177656026,1.13875309095502
"ENSG00000136235","ENSG00000136235","GPNMB","ENSG00000136235","10457","protein_coding",39142,1.53327466559777,1.4367056494721,6.32014155195132,7.42342369286293e-05,0.0347154177656026,1.52992381468811
